Bairro,Cidade,Estado,Valor do Imóvel,Quantidade de Cômodos,Tipo de Imóvel,Vagas de Garagem,Área (m²),Ano de Construção,Valor do Condomínio,Distância do Centro (km),Se tem Elevador,Se tem Piscina,Se está mobiliado,Idade_Imovel(Anos)
Pampulha,Belo Horizonte,MG,539813.76,3,Apartamento,1,78.9,1978,586.75,5.4,True,False,True,47
Savassi,Belo Horizonte,MG,529555.81,2,Apartamento,0,72.9,1975,780.11,8.3,True,False,False,50
Ipanema,Rio de Janeiro,RJ,545645.3,4,Apartamento,3,92.3,1980,903.95,6.5,True,False,False,45
Ipanema,Rio de Janeiro,RJ,702810.22,4,Casa,3,93.1,1977,,2.7,True,True,False,48
Buritis,Belo Horizonte,MG,332768.3,2,Apartamento,2,36.7,1981,1283.34,8.2,True,False,False,44
Pampulha,Belo Horizonte,MG,738539.74,6,Apartamento,1,118.9,2022,1249.28,5.6,True,False,True,3
Pampulha,Belo Horizonte,MG,643571.82,4,Apartamento,1,73.1,1997,1339.7,-1.6,True,False,False,28
Barro Preto,Belo Horizonte,MG,468174.9,2,Casa,0,43.4,1996,,3.0,True,False,False,29
Savassi,Belo Horizonte,MG,943874.79,5,Apartamento,1,96.1,1979,979.52,8.1,True,True,False,46
Tijuca,Rio de Janeiro,RJ,508045.89,4,Casa,0,,1973,,7.7,True,True,False,52
Pampulha,Belo Horizonte,MG,303064.92,2,Apartamento,2,42.6,2016,1326.97,2.4,True,False,True,9
Pinheiros,São Paulo,SP,914158.17,4,Apartamento,2,,2016,1349.9,4.0,True,True,False,9
Leblon,Rio de Janeiro,RJ,588453.67,4,Apartamento,0,61.8,2004,738.35,9.2,True,False,False,21
Pampulha,Belo Horizonte,MG,582336.79,2,Casa,0,71.7,1999,,8.6,True,False,False,26
Ipanema,Rio de Janeiro,RJ,721605.36,5,Casa,0,86.0,2000,,1.0,True,False,False,25
Tijuca,Rio de Janeiro,RJ,918299.0,3,Casa,1,97.0,1991,,5.0,True,True,False,34
Centro,Belo Horizonte,MG,642981.94,4,Apartamento,2,94.7,1978,1324.17,3.2,True,True,True,47
Tatuapé,São Paulo,SP,521468.13,4,Casa,2,78.3,2001,,4.8,True,False,True,24
Savassi,Belo Horizonte,MG,476965.51,3,Apartamento,1,57.0,1996,1214.4,4.7,True,False,False,29
Savassi,Belo Horizonte,MG,426593.97,4,Apartamento,1,60.5,1976,1203.19,7.0,True,False,False,49
Barro Preto,Belo Horizonte,MG,745438.94,5,Casa,1,90.8,1976,,6.7,True,False,False,49
Ipanema,Rio de Janeiro,RJ,743042.95,4,Apartamento,3,106.3,1985,826.75,3.3,True,False,False,40
Buritis,Belo Horizonte,MG,485289.79,4,Casa,2,85.5,1970,,3.2,True,False,False,55
Moema,São Paulo,SP,1231556.95,4,Casa,1,113.3,1992,,6.4,True,True,False,33
Botafogo,Rio de Janeiro,RJ,953774.49,3,Casa,0,84.2,1974,,1.3,True,False,True,51
Tatuapé,São Paulo,SP,474379.16,2,Apartamento,1,49.6,2003,1297.81,6.4,True,False,False,22
Santana,São Paulo,SP,899798.59,5,Apartamento,1,96.8,1988,1292.72,6.3,True,False,True,37
Pampulha,Belo Horizonte,MG,514933.76,4,Apartamento,1,70.4,1979,752.17,5.4,True,False,False,46
Pampulha,Belo Horizonte,MG,677588.51,3,Apartamento,2,,2012,599.43,6.1,True,False,False,13
Botafogo,Rio de Janeiro,RJ,448879.47,2,Apartamento,0,49.7,1980,1174.29,3.3,True,False,False,45
Barro Preto,Belo Horizonte,MG,804818.55,5,Casa,2,,1996,,3.7,True,False,False,29
Pampulha,Belo Horizonte,MG,814116.5,3,Apartamento,2,75.5,1981,694.88,5.0,True,True,False,44
Tatuapé,São Paulo,SP,760311.75,6,Apartamento,2,117.4,2020,1078.08,5.4,True,False,True,5
Ipanema,Rio de Janeiro,RJ,531212.87,2,Casa,1,58.6,2008,,2.2,True,False,True,17
Pampulha,Belo Horizonte,MG,-23393.52,2,Casa,0,-2.8,1974,,4.7,True,True,False,51
Tatuapé,São Paulo,SP,483349.15,4,Casa,0,71.5,1977,,3.6,True,True,False,48
Leblon,Rio de Janeiro,RJ,580082.0,4,Apartamento,0,76.6,2001,369.57,3.3,True,False,False,24
Ipanema,Rio de Janeiro,RJ,574597.8,2,Apartamento,2,56.3,1990,392.46,-0.4,True,False,False,35
Barro Preto,Belo Horizonte,MG,956214.4,4,Apartamento,0,89.3,1987,905.47,5.8,True,True,False,38
Santana,São Paulo,SP,911205.59,3,Casa,2,85.7,1984,,6.4,True,False,True,41
Centro,Belo Horizonte,MG,522934.16,3,Casa,0,83.7,1998,,6.5,True,False,True,27
Moema,São Paulo,SP,653896.34,6,Apartamento,2,108.3,1999,408.12,5.3,True,False,True,26
Ipanema,Rio de Janeiro,RJ,754586.9,2,Casa,1,65.9,2020,,-3.1,True,False,False,5
Santana,São Paulo,SP,659387.57,3,Apartamento,0,72.3,2000,1376.49,2.4,True,False,False,25
Centro,Belo Horizonte,MG,431064.5,3,Casa,0,70.2,2020,,5.6,True,False,False,5
Savassi,Belo Horizonte,MG,907557.1,3,Casa,0,79.8,2020,,2.6,True,True,False,5
Pampulha,Belo Horizonte,MG,729604.74,4,Apartamento,,81.3,2022,582.13,3.4,True,False,False,3
Pinheiros,São Paulo,SP,252097.87,2,Casa,0,30.5,1989,,5.6,True,False,False,36
Copacabana,Rio de Janeiro,RJ,845082.23,5,Casa,,94.6,2002,,7.2,True,False,False,23
Santana,São Paulo,SP,438236.05,4,Casa,1,67.7,1984,,4.6,True,False,True,41
Botafogo,Rio de Janeiro,RJ,995407.95,5,Casa,1,107.8,2019,,6.0,True,False,False,6
Ipanema,Rio de Janeiro,RJ,654334.18,3,Apartamento,2,64.5,1982,1358.79,7.9,True,False,True,43
Pinheiros,São Paulo,SP,527679.02,3,Apartamento,1,95.0,2006,1312.4,7.4,True,False,True,19
Copacabana,Rio de Janeiro,RJ,585157.14,3,Apartamento,2,61.1,1970,561.61,6.0,True,False,False,55
Ipanema,Rio de Janeiro,RJ,216369.54,2,Apartamento,2,35.6,1987,779.93,6.3,True,False,False,38
Buritis,Belo Horizonte,MG,609667.82,2,Apartamento,0,79.2,1987,1162.51,4.8,True,False,True,38
Tatuapé,São Paulo,SP,955944.4,2,Casa,2,77.1,2006,,-0.8,True,True,False,19
Santana,São Paulo,SP,505468.39,2,Apartamento,0,52.9,1994,800.32,8.7,True,False,False,31
Pinheiros,São Paulo,SP,689061.6,5,Casa,2,115.0,2004,,6.2,True,False,False,21
Botafogo,Rio de Janeiro,RJ,635235.47,2,Apartamento,0,69.1,1989,1125.86,6.6,True,False,False,36
Tatuapé,São Paulo,SP,694924.01,4,Casa,2,108.9,2007,,6.1,True,False,False,18
Barro Preto,Belo Horizonte,MG,473446.61,3,Casa,2,53.1,1987,,0.1,True,False,False,38
Pinheiros,São Paulo,SP,515370.39,2,Apartamento,2,51.2,1998,459.1,2.6,True,False,True,27
Tatuapé,São Paulo,SP,467736.98,3,Apartamento,0,58.5,2022,731.6,8.2,True,False,False,3
Tatuapé,São Paulo,SP,426495.9,2,Apartamento,0,37.9,1999,989.59,4.0,True,True,True,26
Ipanema,Rio de Janeiro,RJ,356327.1,2,Casa,1,50.7,1988,,6.2,True,False,False,37
Ipanema,Rio de Janeiro,RJ,591675.32,3,Apartamento,0,77.4,1991,1074.69,4.2,True,True,False,34
Pinheiros,São Paulo,SP,433738.03,5,Apartamento,1,84.7,1971,913.0,9.3,True,False,False,54
Vila Mariana,São Paulo,SP,566465.13,4,Casa,0,84.7,2011,,5.0,True,False,False,14
Vila Mariana,São Paulo,SP,351051.89,2,Casa,,27.0,1976,,1.2,True,True,True,49
Pinheiros,São Paulo,SP,432154.08,2,Casa,2,,1998,,5.6,True,False,False,27
Tijuca,Rio de Janeiro,RJ,410896.69,3,Apartamento,2,64.2,1993,1171.73,6.0,True,False,True,32
Santana,São Paulo,SP,577153.5,4,Casa,1,62.5,1974,,3.8,True,False,False,51
Pampulha,Belo Horizonte,MG,422306.28,3,Apartamento,2,49.5,1994,309.48,8.0,True,True,False,31
Vila Mariana,São Paulo,SP,607363.55,3,Casa,1,67.2,1988,,10.1,True,False,False,37
Botafogo,Rio de Janeiro,RJ,1021942.4,5,Casa,1,95.7,1991,,3.9,True,False,False,34
Tijuca,Rio de Janeiro,RJ,442735.79,4,Casa,2,75.2,1991,,5.9,True,False,True,34
Pampulha,Belo Horizonte,MG,809439.22,3,Apartamento,1,93.8,1983,980.61,3.9,True,False,True,42
Vila Mariana,São Paulo,SP,650174.46,5,Casa,0,85.6,2022,,7.7,True,True,True,3
Botafogo,Rio de Janeiro,RJ,755007.42,2,Casa,2,75.7,1985,,2.7,True,False,False,40
Barro Preto,Belo Horizonte,MG,552706.81,4,Casa,2,93.0,1989,,8.3,True,False,False,36
Centro,Belo Horizonte,MG,430866.43,2,Casa,2,57.6,1982,,6.3,True,True,True,43
Botafogo,Rio de Janeiro,RJ,501546.32,3,Casa,1,66.5,2014,,8.3,True,True,False,11
Centro,Belo Horizonte,MG,881643.83,5,Apartamento,3,92.1,1979,1373.28,9.0,True,False,False,46
Moema,São Paulo,SP,500565.91,2,Apartamento,0,59.0,1992,534.52,3.8,True,False,False,33
Pampulha,Belo Horizonte,MG,462464.84,2,Casa,0,58.1,2009,,3.1,True,True,True,16
Vila Mariana,São Paulo,SP,386739.32,2,Apartamento,1,54.9,1996,859.81,5.9,True,True,True,29
,Rio de Janeiro,RJ,726981.69,4,Apartamento,1,78.8,2023,1030.69,4.9,True,False,False,2
Centro,Belo Horizonte,MG,979986.12,6,Casa,2,103.1,1984,,-0.9,True,False,True,41
Tatuapé,São Paulo,SP,804724.91,5,Casa,0,80.7,1997,,8.2,True,False,False,28
Tijuca,Rio de Janeiro,RJ,962844.36,5,Apartamento,3,108.9,2010,960.55,10.2,True,False,True,15
Tijuca,Rio de Janeiro,RJ,744200.38,5,Apartamento,3,108.9,2023,1283.86,8.3,True,False,False,2
Santana,São Paulo,SP,936505.1,3,Casa,2,98.5,2017,,5.7,True,False,False,8
Moema,São Paulo,SP,549888.23,4,Apartamento,2,65.8,1982,683.96,2.7,True,False,False,43
Leblon,Rio de Janeiro,RJ,634426.04,2,Casa,0,64.4,1974,,9.1,True,True,True,51
Botafogo,Rio de Janeiro,RJ,1015763.23,5,Apartamento,3,100.6,2009,545.28,5.5,True,False,False,16
Leblon,Rio de Janeiro,RJ,527204.87,3,Apartamento,2,59.5,1970,621.27,0.9,True,False,False,55
Buritis,Belo Horizonte,MG,411101.95,2,Casa,2,46.9,2006,,8.0,True,True,False,19
Leblon,Rio de Janeiro,RJ,783944.49,3,Apartamento,1,97.0,1974,896.43,4.1,True,True,False,51
Ipanema,Rio de Janeiro,RJ,515180.28,3,Casa,0,85.4,1971,,6.7,True,False,False,54
Ipanema,Rio de Janeiro,RJ,1255477.73,5,Casa,2,109.5,2004,,-1.3,True,False,False,21
Savassi,Belo Horizonte,MG,952305.01,6,Apartamento,2,103.9,2016,1094.83,4.3,True,False,False,9
Copacabana,Rio de Janeiro,RJ,787625.98,3,Casa,2,96.8,1991,,6.4,True,False,False,34
Copacabana,Rio de Janeiro,RJ,1201200.11,7,Casa,3,131.9,1977,,1.3,True,False,False,48
Vila Mariana,São Paulo,SP,546626.74,2,Casa,0,63.6,1986,,9.8,True,False,False,39
Barro Preto,Belo Horizonte,MG,999585.71,6,Apartamento,3,135.6,1978,1170.68,-1.6,True,False,False,47
Savassi,Belo Horizonte,MG,445992.24,4,Casa,1,71.2,2010,,5.2,True,False,False,15
Leblon,Rio de Janeiro,RJ,927545.34,4,Casa,2,98.5,1999,,4.1,True,False,True,26
Santana,São Paulo,SP,400417.44,4,Apartamento,2,67.9,1970,1361.33,8.3,True,False,True,55
Barro Preto,Belo Horizonte,MG,1018763.59,5,Apartamento,1,101.9,2003,435.29,8.5,True,False,True,22
Tatuapé,São Paulo,SP,486662.59,3,Apartamento,1,65.8,1980,735.78,4.3,True,False,False,45
Pampulha,Belo Horizonte,MG,864230.88,4,Apartamento,,87.7,1981,873.6,2.0,True,False,False,44
Buritis,Belo Horizonte,MG,600250.03,4,Casa,,62.2,2011,,7.7,True,False,False,14
Botafogo,Rio de Janeiro,RJ,1523237.18,5,Casa,1,111.5,2018,,-0.5,True,True,True,7
Botafogo,Rio de Janeiro,RJ,400974.27,3,Casa,1,73.6,2011,,12.8,True,True,False,14
Pampulha,Belo Horizonte,MG,1358889.05,6,Apartamento,2,116.6,2017,556.71,1.4,True,False,False,8
Ipanema,Rio de Janeiro,RJ,247801.98,2,Casa,0,23.2,2014,,6.8,True,True,False,11
Centro,Belo Horizonte,MG,639745.44,5,Casa,2,90.6,2003,,6.3,True,False,True,22
Tijuca,Rio de Janeiro,RJ,611841.42,5,Casa,1,99.5,2003,,6.0,True,False,True,22
Savassi,Belo Horizonte,MG,882508.7,3,Apartamento,1,92.4,1986,1457.87,-2.9,True,False,True,39
Copacabana,Rio de Janeiro,RJ,619230.27,4,Casa,1,73.9,1983,,4.8,True,True,True,42
Barro Preto,Belo Horizonte,MG,601955.17,3,Casa,0,82.8,1991,,4.5,True,False,False,34
,Rio de Janeiro,RJ,606233.53,3,Casa,2,88.2,1975,,2.7,True,False,True,50
Pampulha,Belo Horizonte,MG,1006462.28,4,Casa,2,87.1,2008,,5.3,True,True,False,17
Moema,São Paulo,SP,365343.76,2,Apartamento,1,,2001,658.69,1.8,True,False,False,24
Savassi,Belo Horizonte,MG,383382.6,2,Casa,2,64.9,1998,,5.4,True,False,True,27
Pampulha,Belo Horizonte,MG,591283.8,2,Casa,2,56.5,1994,,6.2,True,True,True,31
Tijuca,Rio de Janeiro,RJ,323122.09,2,Casa,2,34.4,1993,,2.3,True,False,False,32
Leblon,Rio de Janeiro,RJ,341352.42,2,Casa,0,49.4,1985,,1.9,True,True,True,40
Centro,Belo Horizonte,MG,1017259.91,4,Apartamento,3,,1994,817.68,2.4,True,True,False,31
Leblon,Rio de Janeiro,RJ,419039.02,3,Casa,,68.5,1970,,6.9,True,True,False,55
Moema,São Paulo,SP,883248.21,4,Apartamento,0,88.2,2022,444.61,2.7,True,True,True,3
Leblon,Rio de Janeiro,RJ,635017.22,5,Apartamento,1,88.3,1976,859.92,5.1,True,True,False,49
Tijuca,Rio de Janeiro,RJ,385641.43,2,Apartamento,2,60.6,1973,823.13,3.0,True,False,True,52
Botafogo,Rio de Janeiro,RJ,691233.52,2,Apartamento,2,68.1,2011,1152.14,6.8,True,False,False,14
Buritis,Belo Horizonte,MG,1194555.65,5,Casa,2,104.0,2003,,4.7,True,True,True,22
Santana,São Paulo,SP,586975.95,4,Apartamento,2,84.6,2010,1472.53,6.5,True,False,False,15
Tijuca,Rio de Janeiro,RJ,802038.51,4,Casa,1,81.0,1999,,1.8,True,False,True,26
,São Paulo,SP,635283.83,4,Casa,1,86.2,2004,,4.4,True,False,True,21
Leblon,Rio de Janeiro,RJ,1049485.59,5,Casa,2,131.2,2015,,0.3,True,False,True,10
Savassi,Belo Horizonte,MG,620489.78,4,Casa,2,73.0,1991,,1.0,True,True,True,34
Moema,São Paulo,SP,1093725.12,3,Casa,2,98.3,1994,,7.0,True,True,False,31
Leblon,Rio de Janeiro,RJ,816528.44,4,Apartamento,1,72.8,1983,1293.52,2.0,True,False,True,42
Ipanema,Rio de Janeiro,RJ,822394.56,7,Casa,2,137.0,1991,,5.6,True,False,False,34
Moema,São Paulo,SP,772345.66,4,Apartamento,1,117.2,2009,1058.7,3.5,True,False,False,16
Buritis,Belo Horizonte,MG,905876.01,3,Casa,3,97.2,1971,,4.6,True,False,False,54
Copacabana,Rio de Janeiro,RJ,992854.77,6,Apartamento,1,102.5,1986,426.68,9.9,True,False,True,39
Botafogo,Rio de Janeiro,RJ,737683.31,3,Apartamento,1,65.0,1972,564.62,3.4,True,False,True,53
Pampulha,Belo Horizonte,MG,684749.78,2,Apartamento,1,73.1,1999,893.53,1.7,True,False,False,26
Leblon,Rio de Janeiro,RJ,805664.88,4,Casa,1,,2011,,5.0,True,False,False,14
Tijuca,Rio de Janeiro,RJ,245728.25,2,Apartamento,1,29.0,2021,677.59,7.3,True,False,False,4
Botafogo,Rio de Janeiro,RJ,507206.24,3,Casa,2,49.2,2010,,-0.5,True,False,False,15
Tijuca,Rio de Janeiro,RJ,934646.22,5,Casa,1,131.0,1997,,6.4,True,False,False,28
Pampulha,Belo Horizonte,MG,640454.53,3,Casa,1,85.2,2001,,2.8,True,False,False,24
Centro,Belo Horizonte,MG,436945.02,4,Casa,1,75.1,2001,,8.1,True,False,True,24
Centro,Belo Horizonte,MG,662102.01,2,Casa,1,77.9,2017,,6.4,True,False,False,8
Vila Mariana,São Paulo,SP,235231.3,2,Casa,2,23.8,2015,,1.1,True,False,False,10
Barro Preto,Belo Horizonte,MG,507195.88,2,Casa,0,71.0,1978,,5.8,True,False,False,47
Pinheiros,São Paulo,SP,898570.4,5,Apartamento,3,112.7,1980,1311.45,6.1,True,False,False,45
Barro Preto,Belo Horizonte,MG,499728.58,3,Apartamento,1,71.9,2011,1332.62,3.8,True,False,False,14
Tijuca,Rio de Janeiro,RJ,1048496.56,5,Apartamento,,101.6,1998,599.26,1.6,True,False,False,27
Ipanema,Rio de Janeiro,RJ,644371.18,5,Casa,,,2004,,0.1,True,False,False,21
Copacabana,Rio de Janeiro,RJ,1016623.1,3,Casa,1,89.6,2000,,4.5,True,False,True,25
Ipanema,Rio de Janeiro,RJ,1074280.55,5,Casa,2,89.0,1988,,1.2,True,True,False,37
Leblon,Rio de Janeiro,RJ,1005400.05,4,Casa,1,105.1,1977,,4.8,True,False,False,48
Barro Preto,Belo Horizonte,MG,659988.0,4,Casa,0,62.5,1998,,3.9,True,False,True,27
Copacabana,Rio de Janeiro,RJ,614609.56,3,Casa,2,70.2,1991,,8.9,True,False,False,34
Barro Preto,Belo Horizonte,MG,857927.49,4,Apartamento,,111.7,2009,616.27,6.0,True,False,False,16
Santana,São Paulo,SP,518317.39,3,Apartamento,1,47.8,2002,461.45,3.7,True,False,False,23
Moema,São Paulo,SP,518654.89,4,Apartamento,1,60.3,2017,540.1,1.9,True,False,False,8
Savassi,Belo Horizonte,MG,489400.56,3,Casa,0,61.0,2018,,6.0,True,False,False,7
Moema,São Paulo,SP,434916.3,2,Casa,,53.4,2018,,4.5,True,False,False,7
Pampulha,Belo Horizonte,MG,825220.55,7,Apartamento,2,120.1,1995,699.22,7.2,True,False,False,30
